block,trial,phase,trial_type,is_studied,image_path,image_onset,participant_first,participant_slider_value,participant_rt,participant_commit_time,participant_slider_timeout,participant_slider_stop_time,ai_slider_value,ai_rt,ai_decision_time,ai_slider_display_time,ai_correct,switch_stay_decision,switch_rt,switch_commit_time,switch_timeout,decision_onset_time,final_answer,used_ai_answer,ground_truth,participant_accuracy,euclidean_participant_to_truth,euclidean_ai_to_truth,euclidean_participant_to_ai,outcome_time,coins_earned,social_feedback,social_feedback_time,block_start_time,block_end_time,block_duration_seconds,block_duration_minutes
0,1,recognition,studied,True,PLACEHOLDERS/IMAGE_4.png,1764913728.6512551,True,0.265625,2.3136796951293945,1764913732.0271978,False,1764913731.301457,0.6870783101200842,1.4599141858753362,1764913732.040494,1764913733.20627,False,switch,1.0431082248687744,1764913737.527755,False,1764913736.4846468,0.6870783101200842,True,0.0,False,0.265625,0.6870783101200842,0.42145331012008425,1764913737.531839,0.31292168987991575,False,,1764913712.372533,1764913790.837396,78.46486282348633,1.3077477137247722
0,2,recognition,lure,False,PLACEHOLDERS/LURE_2.png,1764913739.612673,True,0.2673611111111111,1.7106800079345703,1764913742.3625631,False,1764913741.661422,0.005791300414613487,1.3614220103078745,1764913742.3653219,1764913743.4728901,False,switch,0.7710590362548828,1764913747.4957361,False,1764913746.7246761,0.005791300414613487,True,1.0,False,0.7326388888888888,0.9942086995853865,0.2615698106964976,1764913747.498488,0.5057913004146135,True,1764913749.047219,1764913712.372533,1764913790.837396,78.46486282348633,1.3077477137247722
0,3,recognition,lure,False,PLACEHOLDERS/LURE_3.png,1764913751.576179,True,0.0,2.3832831382751465,1764913755.011342,False,1764913754.1551921,0.9193416942806375,1.9114749911787168,1764913755.018328,1764913756.5175319,True,stay,0.8865740299224854,1764913760.6754801,False,1764913759.788906,0.0,False,1.0,False,1.0,0.0806583057193625,0.9193416942806375,1764913760.6771681,0.0,False,,1764913712.372533,1764913790.837396,78.46486282348633,1.3077477137247722
0,4,recognition,studied,True,PLACEHOLDERS/IMAGE_10.png,1764913762.705398,True,0.9375,1.8371622562408447,1764913765.5879092,False,1764913764.877975,0.4242455338227502,1.315808503897905,1764913765.5896509,1764913766.641811,True,stay,1.4171440601348877,1764913771.312601,False,1764913769.895457,0.9375,False,0.0,False,0.9375,0.4242455338227502,0.5132544661772498,1764913771.318843,0.0625,False,,1764913712.372533,1764913790.837396,78.46486282348633,1.3077477137247722
0,5,recognition,lure,False,PLACEHOLDERS/LURE_1.png,1764913773.351116,True,0.0,1.9654572010040283,1764913776.3616362,False,1764913775.568786,0.03341654343641601,1.2795133013481386,1764913776.367038,1764913777.3580081,False,switch,2.391474962234497,1764913783.063041,False,1764913780.671566,0.03341654343641601,True,1.0,False,1.0,0.966583456563584,0.03341654343641601,1764913783.066169,0.03341654343641598,False,,1764913712.372533,1764913790.837396,78.46486282348633,1.3077477137247722
1,1,recognition,lure,False,STIMULI/FOOD/Hotdog/Lure_035.jpg,1764913831.934467,False,1.0,2.5624489784240723,1764913839.026664,False,1764913838.208565,0.1651351117223252,3.062079386715283,1764913832.939224,1764913835.28955,False,stay,1.2383360862731934,1764913842.4158132,False,1764913841.1774771,1.0,False,1.0,True,0.0,0.8348648882776748,0.8348648882776748,1764913842.416808,1.0,False,,1764913803.3076339,1764914001.6492312,198.3415973186493,3.305693288644155
1,2,recognition,lure,False,STIMULI/SMALL_OBJECT/Camera/Lure_074.jpg,1764913844.476732,False,0.0,2.149655818939209,1764913849.375078,False,1764913848.595613,0.23280774348276584,0.6800919655866718,1764913845.4785988,1764913846.068116,False,stay,4.586623907089233,1764913856.111352,False,1764913851.524727,0.0,False,1.0,False,1.0,0.7671922565172342,0.23280774348276584,1764913856.122009,0.0,False,,1764913803.3076339,1764914001.6492312,198.3415973186493,3.305693288644155
1,3,recognition,studied,True,STIMULI/BIRD/Parrot/Image_028.jpg,1764913858.165225,False,1.0,5.196617841720581,1764913866.8192918,False,1764913864.663651,0.7166872830762493,1.5809230840680781,1764913859.165699,1764913860.453156,False,stay,2.2539520263671875,1764913871.212343,False,1764913868.95839,1.0,False,0.0,False,1.0,0.7166872830762493,0.2833127169237507,1764913871.21716,0.0,False,,1764913803.3076339,1764914001.6492312,198.3415973186493,3.305693288644155
1,4,recognition,studied,True,STIMULI/SMALL_ANIMAL/Iguana/Image_066.jpg,1764913873.2667809,False,0.0,4.385630130767822,1764913880.944988,False,1764913880.1474519,0.6651863329259212,1.383409032910783,1764913874.269432,1764913875.391225,False,stay,2.5715911388397217,1764913885.67946,False,1764913883.107869,0.0,False,0.0,True,0.0,0.6651863329259212,0.6651863329259212,1764913885.68533,1.0,False,,1764913803.3076339,1764914001.6492312,198.3415973186493,3.305693288644155
1,5,recognition,lure,False,STIMULI/BIG_OBJECT/Filing_cabinet/Lure_017.jpg,1764913887.726642,False,0.6458333333333334,4.6633970737457275,1764913895.678045,False,1764913895.061762,0.8038386037163744,1.390989595223295,1764913888.7302651,1764913889.832798,True,switch,1.1449098587036133,1764913898.994727,False,1764913897.849817,0.8038386037163744,True,1.0,True,0.35416666666666663,0.1961613962836256,0.15800527038304102,1764913899.001274,0.8038386037163744,False,,1764913803.3076339,1764914001.6492312,198.3415973186493,3.305693288644155
1,6,recognition,studied,True,STIMULI/VEHICLE/Cruise_ship/Image_096.jpg,1764913901.1067798,False,0.0,2.2518739700317383,1764913907.187398,False,1764913906.2591832,0.6403852530536946,2.1185215987997585,1764913902.110066,1764913903.769384,False,stay,1.728667974472046,1764913911.061213,False,1764913909.332544,0.0,False,0.0,True,0.0,0.6403852530536946,0.6403852530536946,1764913911.066287,1.0,False,,1764913803.3076339,1764914001.6492312,198.3415973186493,3.305693288644155
