timestamp,event_type
1771260764.257858515,recognition_image_offset_trigger
1771260764.398925304,partner_rating_onset
1771260765.631042242,partner_slider_settled_trigger
1771260766.644850731,partner_rating_complete
1771260774.314701796,timeout_warning_onset
1771260775.840169907,timeout_warning_offset
1771260776.039811134,switch_stay_trigger
1771260783.147001266,timeout_warning_onset
1771260784.663418531,timeout_warning_offset
1771260784.727504492,outcome_trigger
1771260786.785795212,recognition_fixation_onset_trigger
1771260787.556621552,recognition_fixation_offset_trigger
1771260787.650321007,recognition_fixation_onset_trigger
1771260788.173629522,recognition_fixation_offset_trigger
1771260788.204691648,recognition_image_onset_trigger
1771260789.223683596,recognition_image_offset_trigger
1771260792.927551746,participant_commit_trigger
1771260793.047446251,partner_rating_onset
1771260794.155245304,partner_slider_settled_trigger
1771260795.171209812,partner_rating_complete
1771260795.858626127,switch_stay_trigger
1771260797.042346716,switch_stay_response_trigger
1771260797.165225506,outcome_trigger
1771260799.238914251,recognition_fixation_onset_trigger
1771260799.884339571,recognition_fixation_offset_trigger
1771260800.020232916,recognition_fixation_onset_trigger
1771260800.541260719,recognition_fixation_offset_trigger
1771260800.576493740,recognition_image_onset_trigger
1771260801.599113941,recognition_image_offset_trigger
1771260806.075434923,participant_commit_trigger
1771260806.193912029,partner_rating_onset
1771260807.735942841,partner_slider_settled_trigger
1771260808.738019943,partner_rating_complete
1771260809.446593046,switch_stay_trigger
1771260811.491077662,switch_stay_response_trigger
1771260811.588038683,outcome_trigger
1771260813.663949251,recognition_fixation_onset_trigger
1771260814.400455236,recognition_fixation_offset_trigger
1771260814.537633181,recognition_fixation_onset_trigger
1771260815.059752226,recognition_fixation_offset_trigger
1771260815.088101864,recognition_image_onset_trigger
1771260816.108975172,recognition_image_offset_trigger
1771260816.255437136,partner_rating_onset
1771260818.329826355,partner_slider_settled_trigger
1771260819.466350079,partner_rating_complete
1771260822.006595850,participant_commit_trigger
1771260822.219784737,switch_stay_trigger
1771260823.459501028,switch_stay_response_trigger
1771260823.571095705,outcome_trigger
1771260825.641449928,recognition_fixation_onset_trigger
1771260826.261700153,recognition_fixation_offset_trigger
1771260826.326391220,recognition_fixation_onset_trigger
1771260826.838807344,recognition_fixation_offset_trigger
1771260826.868029594,recognition_image_onset_trigger
1771260827.891816616,recognition_image_offset_trigger
1771260829.881260633,participant_commit_trigger
1771260830.003957033,partner_rating_onset
1771260831.471604586,partner_slider_settled_trigger
1771260832.437989712,partner_rating_complete
1771260833.131513596,switch_stay_trigger
1771260834.063373327,switch_stay_response_trigger
1771260834.168084145,outcome_trigger
1771260836.240597248,recognition_fixation_onset_trigger
1771260836.941694260,recognition_fixation_offset_trigger
1771260837.041004896,recognition_fixation_onset_trigger
1771260837.555451870,recognition_fixation_offset_trigger
1771260837.583896875,recognition_image_onset_trigger
1771260838.607436895,recognition_image_offset_trigger
1771260842.359262228,participant_commit_trigger
1771260842.486515999,partner_rating_onset
1771260844.815547466,partner_slider_settled_trigger
1771260846.051430941,partner_rating_complete
1771260846.732339621,switch_stay_trigger
1771260848.087973356,switch_stay_response_trigger
1771260848.242142200,outcome_trigger
1771260850.437312365,block_summary_onset
1771260853.261476278,block_summary_continue
1771260853.578062057,instruction_onset
1771260854.854509830,instruction_continue
1771260855.182897091,instruction_onset
1771260856.338459969,instruction_continue
1771260856.612786770,study_fixation_onset_trigger
1771260857.258031607,study_fixation_offset_trigger
1771260857.328317881,study_image_onset_trigger
1771260858.341618538,study_image_offset_trigger
1771260858.370086432,study_fixation_onset_trigger
1771260858.967570066,study_fixation_offset_trigger
1771260859.046204329,study_image_onset_trigger
1771260860.056355476,study_image_offset_trigger
1771260860.085354090,study_fixation_onset_trigger
