block,phase,trial,image_path,study_fixation_onset_trigger,study_fixation_offset_trigger,fixation_duration,study_image_onset_trigger,study_image_offset_trigger,image_duration
3,study,10,C:\Users\qasim\Desktop\SocialRecognitionTask\STIMULI\smallobject\Camera\Image_074.jpg,1771261013.975894,1771261014.4962337,0.5059544432516792,1771261014.5460777,1771261015.5599747,1.0
4,study,1,C:\Users\qasim\Desktop\SocialRecognitionTask\STIMULI\VEHICLE\Car\Image_095.jpg,1771261142.6333015,1771261143.3688138,0.7099646280990368,1771261143.4233165,1771261144.4401653,1.0
4,study,2,C:\Users\qasim\Desktop\SocialRecognitionTask\STIMULI\bigobject\Couch\Image_016.jpg,1771261144.468527,1771261144.9894915,0.4993789076939512,1771261145.171692,1771261146.1939664,1.0
4,study,3,C:\Users\qasim\Desktop\SocialRecognitionTask\STIMULI\FRUIT\Apple\Image_041.jpg,1771261146.2241318,1771261146.6308005,0.39142337373141584,1771261146.7157307,1771261147.7373211,1.0
4,study,4,C:\Users\qasim\Desktop\SocialRecognitionTask\STIMULI\smallanimal\Iguana\Image_066.jpg,1771261147.7654808,1771261148.4261634,0.6368484330380482,1771261148.4992237,1771261149.5247214,1.0
4,study,5,C:\Users\qasim\Desktop\SocialRecognitionTask\STIMULI\VEGETABLE\Arugula\Image_081.jpg,1771261149.5531838,1771261149.9201725,0.3450280034068186,1771261149.9843814,1771261151.0086186,1.0
4,study,6,C:\Users\qasim\Desktop\SocialRecognitionTask\STIMULI\INSECT\Moth\Image_059.jpg,1771261151.0325577,1771261151.5841126,0.5256985786186292,1771261151.640909,1771261152.6571338,1.0
4,study,7,C:\Users\qasim\Desktop\SocialRecognitionTask\STIMULI\BIRD\Duck\Image_022.jpg,1771261152.6842566,1771261153.3571022,0.6487460054280197,1771261153.4277124,1771261154.4419742,1.0
4,study,8,C:\Users\qasim\Desktop\SocialRecognitionTask\STIMULI\biganimal\Alpaca\Image_002.jpg,1771261154.4704888,1771261154.9107273,0.42005600724171716,1771261154.9841485,1771261156.0085218,1.0
4,study,9,C:\Users\qasim\Desktop\SocialRecognitionTask\STIMULI\FOOD\Cake\Image_033.jpg,1771261156.0357885,1771261156.7724524,0.7158960718399818,1771261156.8265965,1771261157.839257,1.0
4,study,10,C:\Users\qasim\Desktop\SocialRecognitionTask\STIMULI\smallobject\Key\Image_079.jpg,1771261157.8663645,1771261158.4618442,0.5714713249674668,1771261158.6074147,1771261159.6303442,1.0
5,study,1,C:\Users\qasim\Desktop\SocialRecognitionTask\STIMULI\VEHICLE\Van\Image_100.jpg,1771261267.7584684,1771261268.4873502,0.6970783006792705,1771261268.5793521,1771261269.592464,1.0
5,study,2,C:\Users\qasim\Desktop\SocialRecognitionTask\STIMULI\biganimal\Camel\Image_003.jpg,1771261269.6155722,1771261270.373728,0.7341307496346694,1771261270.4609149,1771261271.476796,1.0
