ai_correct,ai_decision_time,ai_final_slider_display_time,ai_reliability,ai_rt,ai_slider_display_time,ai_slider_value,block,block_duration_minutes,block_duration_seconds,block_end_time,block_start_time,decision_onset_time,euclidean_ai_to_truth,euclidean_participant_to_ai,euclidean_participant_to_truth,final_answer,ground_truth,image_onset,image_path,is_studied,outcome_time,participant_accuracy,participant_commit_time,participant_first,participant_rt,participant_slider_click_times,participant_slider_decision_onset_time,participant_slider_stop_time,participant_slider_timeout,participant_slider_value,phase,points_earned,switch_commit_time,switch_rt,switch_stay_decision,switch_timeout,trial,trial_type,used_ai_answer
,,,0.5,,,,0,,,,,,,,0.027777777777777783,0.027777777777777783,0.0,1770761579.963535,C:\Users\qasim\Desktop\SocialRecognitionTask\PLACEHOLDERS\IMAGE_1.png,True,,True,1770761578.44184,True,2.235564708709717,1770761577.8515596,1770761577.8515596,1770761577.8515596,False,0.027777777777777783,recognition,0.9722222222222222,,,,,1,studied,False
True,1770761590.421466,1770761585.198717,0.5,2.0,1770761584.9002826,0.0,0,,,,,,0.0,0.009259259259259262,0.009259259259259262,0.009259259259259262,0.0,1770761590.421466,C:\Users\qasim\Desktop\SocialRecognitionTask\PLACEHOLDERS\IMAGE_2.png,True,,True,1770761588.902494,True,2.335916757583618,1770761588.2606592,1770761588.2606592,1770761588.2606592,False,0.009259259259259262,recognition,0.9907407407407407,,,,,2,studied,False
False,1770761602.7980754,1770761598.177491,0.5,2.0,1770761597.8751533,0.4,0,,,,,1770761599.573929,0.6,0.5837962962962963,0.01620370370370372,0.9837962962962963,1.0,1770761602.7980754,C:\Users\qasim\Desktop\SocialRecognitionTask\PLACEHOLDERS\IMAGE_3.png,False,1770761602.7980754,True,1770761596.0837393,True,1.968205213546753,1770761595.485328,1770761595.485328,1770761595.485328,False,0.9837962962962963,recognition,0.9837962962962963,1770761600.737481,1.1635520458221436,stay,False,3,studied,False
False,1770761644.9652476,1770761646.3614597,0.75,0.9052785862188705,1770761646.058691,0.6038508316886948,1,2.136907637119293,128.2144582271576,1770761749.4832785,1770761621.2688203,1770761647.757382,0.6038508316886948,0.5945915724294355,0.009259259259259262,0.6038508316886948,0.0,1770761641.174585,C:\Users\qasim\Desktop\SocialRecognitionTask\STIMULI\smallanimal\Iguana\Image_066.jpg,True,1770761648.9714103,False,1770761644.961229,True,2.6797268390655518,1770761643.716944,1770761643.716944,1770761643.716944,False,0.009259259259259262,recognition,0.3961491683113052,1770761648.9704096,1.2130277156829834,switch,False,1,studied,True
True,1770761652.9214432,1770761655.1185675,0.75,2.08948329842599,1770761654.7825315,0.8897590152561718,1,2.136907637119293,128.2144582271576,1770761749.4832785,1770761621.2688203,1770761658.3308403,0.11024098474382815,0.07551876252160594,0.03472222222222221,0.9652777777777778,1.0,1770761651.9203715,C:\Users\qasim\Desktop\SocialRecognitionTask\STIMULI\VEGETABLE\Carrot\Lure_087.jpg,False,1770761660.2095015,True,1770761658.1509714,False,1.6927964687347412,1770761657.453772,1770761657.453772,1770761657.453772,False,0.9652777777777778,recognition,0.9652777777777778,1770761660.2085032,1.8776628971099854,stay,False,2,lure,False
True,1770761666.1377797,1770761667.8496017,0.75,1.3694221822017285,1770761667.5497642,0.36602169483041513,1,2.136907637119293,128.2144582271576,1770761749.4832785,1770761621.2688203,1770761669.263531,0.36602169483041513,0.3567624355711559,0.009259259259259262,0.009259259259259262,0.0,1770761663.6009426,C:\Users\qasim\Desktop\SocialRecognitionTask\STIMULI\biganimal\Giraffe\Image_006.jpg,True,1770761669.7531345,True,1770761666.1367793,True,1.4124722480773926,1770761665.5114298,1770761665.5114298,1770761665.5114298,False,0.009259259259259262,recognition,0.9907407407407407,1770761669.7531345,0.48960351943969727,stay,False,3,studied,False
True,1770761673.943155,1770761676.224038,0.75,2.188370892554054,1770761675.8926075,0.9648912111222584,1,2.136907637119293,128.2144582271576,1770761749.4832785,1770761621.2688203,1770761679.3058531,0.035108788877741604,0.011960640729593575,0.02314814814814803,0.976851851851852,1.0,1770761672.941399,C:\Users\qasim\Desktop\SocialRecognitionTask\STIMULI\FRUIT\Apple\Lure_041.jpg,False,1770761680.1301641,True,1770761679.1742222,False,1.6070477962493896,1770761678.156089,1770761678.156089,1770761678.156089,False,0.976851851851852,recognition,0.976851851851852,1770761680.1281576,0.8223044872283936,stay,False,4,lure,False
True,1770761684.1653962,1770761685.9722672,0.75,1.4918796451498084,1770761685.6758127,0.8483081982053208,1,2.136907637119293,128.2144582271576,1770761749.4832785,1770761621.2688203,1770761688.464685,0.15169180179467923,0.14243254253541993,0.0092592592592593,0.9907407407407407,1.0,1770761683.1636453,C:\Users\qasim\Desktop\SocialRecognitionTask\STIMULI\BIRD\Parrot\Lure_028.jpg,False,1770761689.4347756,True,1770761688.3414798,False,1.0481700897216797,1770761687.729387,1770761687.729387,1770761687.729387,False,0.9907407407407407,recognition,0.9907407407407407,1770761689.4347756,0.9700906276702881,stay,False,5,lure,False
True,1770761695.3657382,1770761697.2678065,0.75,1.6723971601436285,1770761696.9757075,0.9583451818371616,1,2.136907637119293,128.2144582271576,1770761749.4832785,1770761621.2688203,1770761698.6645339,0.04165481816283845,0.03471037371839403,0.00694444444444442,0.9930555555555556,1.0,1770761692.6124547,C:\Users\qasim\Desktop\SocialRecognitionTask\STIMULI\smallobject\Envelope\Lure_075.jpg,False,1770761701.0278015,True,1770761695.3646257,True,1.6479506492614746,"1770761694.4112673,1770761694.8233738",1770761694.4112673,1770761694.8233738,False,0.9930555555555556,recognition,0.9930555555555556,1770761701.0268917,2.3623578548431396,stay,False,6,lure,False
False,1770761705.3090785,1770761707.0896502,0.75,1.522412262078797,1770761706.798194,0.5887301535120635,1,2.136907637119293,128.2144582271576,1770761749.4832785,1770761621.2688203,1770761709.6066697,0.5887301535120635,0.5841005238824338,0.004629629629629602,0.004629629629629602,0.0,1770761704.3080533,C:\Users\qasim\Desktop\SocialRecognitionTask\STIMULI\bigobject\filingcabinet\Image_017.jpg,True,1770761710.442218,True,1770761709.4600189,False,1.069075107574463,1770761708.8075755,1770761708.8075755,1770761708.8075755,False,0.004629629629629602,recognition,0.9953703703703703,1770761710.4412172,0.8345475196838379,stay,False,7,studied,False
