ai_correct,ai_decision_time,ai_final_slider_display_time,ai_reliability,ai_rt,ai_slider_display_time,ai_slider_value,block,block_duration_minutes,block_duration_seconds,block_end_time,block_start_time,euclidean_ai_to_truth,euclidean_participant_to_ai,euclidean_participant_to_truth,final_answer,ground_truth,image_path,is_studied,outcome_trigger,participant_accuracy,participant_commit_time,participant_commit_trigger,participant_first,participant_rt,participant_slider_click_times,participant_slider_decision_onset_time,participant_slider_stop_time,participant_slider_timeout,participant_slider_value,partner_rating_complete_trigger,partner_rating_onset_trigger,partner_slider_settled_trigger,phase,points_earned,recognition_fixation_offset_trigger,recognition_fixation_onset_trigger,recognition_image_offset_trigger,recognition_image_onset_trigger,switch_commit_time,switch_rt,switch_stay_decision,switch_stay_response_trigger,switch_stay_trigger,switch_timeout,trial,trial_type,used_ai_answer
,,,0.5,,,,0,,,,,,,0.031249999999999972,0.031249999999999972,0.0,C:\Users\qasim\Desktop\SocialRecognitionTask\PLACEHOLDERS\IMAGE_1.png,True,1771260648.1173594,True,1771260648.094492,1771260648.0745037,True,2.5944149494171143,1771260647.158313,1771260647.158313,1771260647.158313,False,0.031249999999999972,,,,recognition,0.96875,1771260643.7980547,1771260643.2772274,1771260645.3516831,1771260643.8376157,,,,,,,1,studied,False
True,1771260660.9505966,1771260654.911373,0.5,2.0,1771260654.6071591,0.0,0,,,,,0.0,0.03776041666666667,0.03776041666666667,0.03776041666666667,0.0,C:\Users\qasim\Desktop\SocialRecognitionTask\PLACEHOLDERS\IMAGE_2.png,True,1771260659.4268022,True,1771260659.4057012,1771260659.3865979,True,3.200923204421997,1771260658.696522,1771260658.696522,1771260658.696522,False,0.03776041666666667,1771260655.6002975,1771260652.9154184,1771260654.618168,recognition,0.9622395833333334,1771260650.184318,1771260649.67015,1771260651.2473688,1771260650.224514,,,,,,,2,studied,False
False,1771260677.275075,1771260669.8779576,0.5,2.0,1771260669.5702775,0.4,0,,,,,0.6,0.5796006944444445,0.02039930555555547,0.9796006944444445,1.0,C:\Users\qasim\Desktop\SocialRecognitionTask\PLACEHOLDERS\IMAGE_3.png,False,1771260675.2587523,True,1771260667.7833257,1771260667.767546,True,2.9970760345458984,1771260666.8427532,1771260666.8427532,1771260666.8427532,False,0.9796006944444445,1771260670.5798392,1771260667.8620584,1771260669.5832748,recognition,0.9796006944444445,1771260663.594066,1771260663.068178,1771260664.669412,1771260663.6547434,1771260675.1924908,3.883659839630127,stay,1771260675.1653235,1771260671.3021429,False,3,studied,False
True,1771260718.4846506,1771260720.260663,0.75,1.7269431749337585,1771260719.9997575,0.22967809291973684,1,2.6213709155718488,157.2822549343109,1771260853.4758942,1771260696.1936393,0.22967809291973684,0.20493850958640353,0.02473958333333333,0.02473958333333333,0.0,C:\Users\qasim\Desktop\SocialRecognitionTask\STIMULI\VEGETABLE\Kale\Image_088.jpg,True,1771260725.7038958,True,1771260723.969491,1771260723.9424703,False,2.4941632747650146,1771260723.0019164,1771260723.0019164,1771260723.0019164,False,0.02473958333333333,1771260720.900661,1771260718.538144,1771260720.0027573,recognition,0.9752604166666666,1771260717.4232981,1771260716.8988283,1771260718.4704156,1771260717.4512293,1771260725.6343157,1.4648168087005615,stay,1771260725.60695,1771260724.1466503,False,1,studied,False
True,1771260732.3536117,1771260734.3877957,0.75,1.8359043826834454,1771260734.0800223,0.24856754451558377,1,2.6213709155718488,157.2822549343109,1771260853.4758942,1771260696.1936393,0.24856754451558377,0.2346786556266949,0.013888888888888864,0.013888888888888864,0.0,C:\Users\qasim\Desktop\SocialRecognitionTask\STIMULI\FOOD\Bagel\Image_031.jpg,True,1771260736.8122287,True,1771260732.3536117,1771260732.3313951,True,1.9224724769592285,1771260731.6959572,1771260731.6959572,1771260731.6959572,False,0.013888888888888864,1771260735.0985327,1771260732.4650517,1771260734.0930305,recognition,0.9861111111111112,1771260729.1958694,1771260728.6721697,1771260730.2519941,1771260729.2308402,1771260736.7029374,0.8951458930969238,stay,1771260736.6754575,1771260735.7920423,False,2,studied,False
True,1771260741.327351,1771260744.38817,0.75,2.9654529861005563,1771260743.6987658,0.8314529316226507,1,2.6213709155718488,157.2822549343109,1771260853.4758942,1771260696.1936393,0.16854706837734934,0.1459776239329048,0.02256944444444453,0.9774305555555555,1.0,C:\Users\qasim\Desktop\SocialRecognitionTask\STIMULI\smallanimal\Frog\Lure_064.jpg,False,1771260750.0834596,True,1771260748.3507957,1771260748.3260255,False,2.6528990268707275,"1771260747.524107,1771260747.756855",1771260747.524107,1771260747.756855,False,0.9774305555555555,1771260745.081103,1771260741.429247,1771260743.7027655,recognition,0.9774305555555555,1771260740.2573087,1771260739.7324936,1771260741.3079,1771260740.285865,1771260750.0147722,1.4696104526519775,stay,1771260749.9921157,1771260748.5276659,False,3,lure,False
True,1771260754.2774343,1771260755.8141012,0.75,1.2257317395068246,1771260755.5040524,0.7864509328420405,1,2.6213709155718488,157.2822549343109,1771260853.4758942,1771260696.1936393,0.21354906715795952,0.20400045604684847,0.00954861111111105,0.990451388888889,1.0,C:\Users\qasim\Desktop\SocialRecognitionTask\STIMULI\FRUIT\Peach\Lure_047.jpg,False,1771260760.1134033,True,1771260758.9943626,1771260758.9749532,False,1.8927855491638184,1771260758.4290345,1771260758.4290345,1771260758.4290345,False,0.990451388888889,1771260756.522231,1771260754.3865218,1771260755.51757,recognition,0.990451388888889,1771260753.2032251,1771260752.6892867,1771260754.2583938,1771260753.2338483,1771260760.0436623,0.8680660724639893,stay,1771260760.0222154,1771260759.1524127,False,4,lure,False
True,1771260764.276974,1771260765.933543,0.75,1.2143352294817686,1771260765.6190362,0.16265457419460008,1,2.6213709155718488,157.2822549343109,1771260853.4758942,1771260696.1936393,0.16265457419460008,0.021484964602770468,0.14116960959182961,0.14116960959182961,0.0,C:\Users\qasim\Desktop\SocialRecognitionTask\STIMULI\biganimal\Elephant\Image_005.jpg,True,1771260784.7275045,True,1771260774.2621422,,False,7.007668495178223,,,,True,0.14116960959182961,1771260766.6448507,1771260764.3989253,1771260765.6310422,recognition,0.8588303904081704,1771260763.20682,1771260762.6957476,1771260764.2578585,1771260763.2343087,1771260783.065126,7.0,stay,,1771260776.0398111,True,5,studied,False
True,1771260792.9528146,1771260794.4501898,0.75,1.1630268289934829,1771260794.141327,0.03275119371472143,1,2.6213709155718488,157.2822549343109,1771260853.4758942,1771260696.1936393,0.03275119371472143,0.025372721492499212,0.007378472222222219,0.007378472222222219,0.0,C:\Users\qasim\Desktop\SocialRecognitionTask\STIMULI\smallobject\Basket\Image_072.jpg,True,1771260797.1652255,True,1771260792.9508245,1771260792.9275517,True,3.5727765560150146,1771260792.401994,1771260792.401994,1771260792.401994,False,0.007378472222222219,1771260795.1712098,1771260793.0474463,1771260794.1552453,recognition,0.9926215277777778,1771260788.1736295,1771260787.650321,1771260789.2236836,1771260788.2046916,1771260797.0706525,1.1936335563659668,stay,1771260797.0423467,1771260795.8586261,False,6,studied,False
False,1771260806.0930848,1771260808.0279868,0.75,1.6916419948964159,1771260807.7277582,0.4521102422145583,1,2.6213709155718488,157.2822549343109,1771260853.4758942,1771260696.1936393,0.5478897577854417,0.5296605911187751,0.01822916666666663,0.4521102422145583,1.0,C:\Users\qasim\Desktop\SocialRecognitionTask\STIMULI\bigobject\filingcabinet\Lure_017.jpg,False,1771260811.5880387,False,1771260806.0920844,1771260806.075435,True,4.377926826477051,1771260804.9633317,1771260804.9633317,1771260804.9633317,False,0.9817708333333334,1771260808.73802,1771260806.193912,1771260807.7359428,recognition,0.4521102422145583,1771260800.5412607,1771260800.020233,1771260801.599114,1771260800.5764937,1771260811.5142922,2.0464370250701904,switch,1771260811.4910777,1771260809.446593,False,7,lure,True
